product_name,sku,state,type,display_on_ui,description,council,provider_name,provider_id,cost,retail_price,gst_option,gst_amount,fulfillment_method,status,required_data_buyer,required_data_seller
Alpine Shire Council - Council Land Information Certificate,VICLGALANDINFOV01,VIC,LGA,true,"Order the Council Land Information Certificate from Alpine Shire Council for a property in Alpine Shire. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Alpine Shire,Alpine Shire Council,8f24d4c2-4fb8-4358-9f68-da1d3085881f,,,normal_gst_10,,Manual,active,,
Ararat Rural City Council - Council Land Information Certificate,VICLGALANDINFOV02,VIC,LGA,true,"Order the Council Land Information Certificate from Ararat Rural City Council for a property in Ararat Rural City. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Ararat Rural City,Ararat Rural City Council,7bb8ef6a-fe96-4983-a8f9-f7cb97b61014,,,normal_gst_10,,Manual,active,,
Ballarat City Council - Council Land Information Certificate,VICLGALANDINFOV03,VIC,LGA,true,"Order the Council Land Information Certificate from Ballarat City Council for a property in Ballarat City. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Ballarat City,Ballarat City Council,19cf4ede-e1a9-4206-94dc-e6943a63dbbe,,,normal_gst_10,,Manual,active,,
Banyule City Council - Council Land Information Certificate,VICLGALANDINFOV04,VIC,LGA,true,"Order the Council Land Information Certificate from Banyule City Council for a property in Banyule City. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Banyule City,Banyule City Council,fb02b30b-8bb2-4dc0-9918-a41ea3b1a078,,,normal_gst_10,,Manual,active,,
Barwon Region Water - Water Authority Property Services Plan,VICUTILITYWATERPROPPLANV05,VIC,Utility,true,"Order the Water Authority Property Services Plan from Barwon Region Water for a property in Barwon Region. The plan provides available water and sewer service or asset information associated with the property for due diligence, planning or building work.",Barwon Region,Barwon Region Water,710ffee8-9242-4ee2-9aea-9145b25d020a,,,normal_gst_10,,Manual,active,,
Barwon Region Water - Special Water Meter Reading,VICUTILITYWATERMETERV05,VIC,Utility,true,Order the Special Water Meter Reading from Barwon Region Water for a property in Barwon Region. This service requests the stated water-meter reading from the relevant water authority for property settlement or account purposes.,Barwon Region,Barwon Region Water,710ffee8-9242-4ee2-9aea-9145b25d020a,,,normal_gst_10,,Manual,active,,
Barwon Region Water - Water Information Statement,VICUTILITYWATERINFOV05,VIC,Utility,true,"Order the Water Information Statement from Barwon Region Water for a property in Barwon Region. The statement provides available property water-account and service information, which may include rates and charges, water and sewer assets, tariffs, notices and encumbrances.",Barwon Region,Barwon Region Water,710ffee8-9242-4ee2-9aea-9145b25d020a,,,normal_gst_10,,Manual,active,,
Bass Coast Shire Council - Council Land Information Certificate - Standard Service,VICLGALANDINFOSTDV06,VIC,LGA,true,"Order the Council Land Information Certificate - Standard Service from Bass Coast Shire Council for a property in Bass Coast Shire. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders. This is the standard service option.",Bass Coast Shire,Bass Coast Shire Council,166b4f64-74d5-4069-8063-590400be4d28,,,normal_gst_10,,Manual,active,,
Baw Baw Shire Council - Council Land Information Certificate,VICLGALANDINFOV07,VIC,LGA,true,"Order the Council Land Information Certificate from Baw Baw Shire Council for a property in Baw Baw Shire. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Baw Baw Shire,Baw Baw Shire Council,0b035af5-2b1a-4650-b60c-a8f119e069a5,,,normal_gst_10,,Manual,active,,
Bayside City Council - Council Land Information Certificate,VICLGALANDINFOV08,VIC,LGA,true,"Order the Council Land Information Certificate from Bayside City Council for a property in Bayside City. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Bayside City,Bayside City Council,6619af6d-5b35-4075-925f-3d2cfe6d7d6e,,,normal_gst_10,,Manual,active,,
Boroondara City Council - Council Land Information Certificate,VICLGALANDINFOV09,VIC,LGA,true,"Order the Council Land Information Certificate from Boroondara City Council for a property in Boroondara City. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Boroondara City,Boroondara City Council,08400717-5398-4962-819b-8409d085cd1d,,,normal_gst_10,,Manual,active,,
Brimbank City Council - Council Land Information Certificate,VICLGALANDINFOV10,VIC,LGA,true,"Order the Council Land Information Certificate from Brimbank City Council for a property in Brimbank City. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Brimbank City,Brimbank City Council,7f8c1639-1197-44ce-81fc-a43c87c357b9,,,normal_gst_10,,Manual,active,,
Buloke Shire Council - Council Land Information Certificate,VICLGALANDINFOV11,VIC,LGA,true,"Order the Council Land Information Certificate from Buloke Shire Council for a property in Buloke Shire. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Buloke Shire,Buloke Shire Council,542ab9d4-9225-494d-8abf-509cdb030a89,,,normal_gst_10,,Manual,active,,
Campaspe Shire Council - Council Land Information Certificate,VICLGALANDINFOV12,VIC,LGA,true,"Order the Council Land Information Certificate from Campaspe Shire Council for a property in Campaspe Shire. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Campaspe Shire,Campaspe Shire Council,620702fd-63f8-425a-97c3-c7e34cab79db,,,normal_gst_10,,Manual,active,,
Cardinia Shire Council - Council Land Information Certificate,VICLGALANDINFOV13,VIC,LGA,true,"Order the Council Land Information Certificate from Cardinia Shire Council for a property in Cardinia Shire. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Cardinia Shire,Cardinia Shire Council,232b7ea8-6859-4ce6-af20-adf01666c649,,,normal_gst_10,,Manual,active,,
Casey City Council - Council Land Information Certificate - Standard Service,VICLGALANDINFOSTDV14,VIC,LGA,true,"Order the Council Land Information Certificate - Standard Service from Casey City Council for a property in Casey City. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders. This is the standard service option.",Casey City,Casey City Council,08cdddde-2e60-43a0-93e7-e4c565de3157,,,normal_gst_10,,Manual,active,,
D&D - Premium Planning Certificate,VICOTHERPREMIUMPLANNINGCERTV15,VIC,Other,true,"Order the Premium Planning Certificate from D&D for a Victorian property. This product provides the search, certificate, plan, report or property information stated in the product name.",ALL,D&D,eeeb6681-53fb-4ea4-8891-54c1661db580,,,normal_gst_10,,Manual,active,,
Central Goldfields Shire Council - Council Land Information Certificate,VICLGALANDINFOV16,VIC,LGA,true,"Order the Council Land Information Certificate from Central Goldfields Shire Council for a property in Central Goldfields Shire. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Central Goldfields Shire,Central Goldfields Shire Council,1f47641c-8a56-402f-b8d1-1047df7c21c4,,,normal_gst_10,,Manual,active,,
"Central Highlands Water - Special Water Meter Reading NB: You will need to select Water Information Certificate, and a SMR will be included",VICUTILITYWATERMETERNBYOUWILLNEEDTOSELECTWV17,VIC,Utility,true,"Order the Special Water Meter Reading NB: You will need to select Water Information Certificate, and a SMR will be included from Central Highlands Water for a property in Central Highlands. This service requests the stated water-meter reading from the relevant water authority for property settlement or account purposes.",Central Highlands,Central Highlands Water,cb1b50fd-9cf7-421b-88ae-c7da473c3b35,,,normal_gst_10,,Manual,active,,
Central Highlands Water - Water Information Statement,VICUTILITYWATERINFOV17,VIC,Utility,true,"Order the Water Information Statement from Central Highlands Water for a property in Central Highlands. The statement provides available property water-account and service information, which may include rates and charges, water and sewer assets, tariffs, notices and encumbrances.",Central Highlands,Central Highlands Water,cb1b50fd-9cf7-421b-88ae-c7da473c3b35,,,normal_gst_10,,Manual,active,,
Greater Western Water ( formerly City West Water ) - Water Information Statement - Standard Service,VICUTILITYWATERINFOSTDV18,VIC,Utility,true,"Order the Water Information Statement - Standard Service from Greater Western Water for a property in Greater Western. The statement provides available property water-account and service information, which may include rates and charges, water and sewer assets, tariffs, notices and encumbrances. This is the standard service option.",Greater Western,Greater Western Water,68dc2dbe-5f54-451a-8f2e-c2986a7f4713,,,normal_gst_10,,Manual,active,,
Colac City Council - Otway Shire Council - Council Land Information Certificate,VICLGAOTWAYSHIRECOUNCILLANDINFOV19,VIC,LGA,true,"Order the Otway Shire Council - Council Land Information Certificate from Colac City Council for a property in Colac. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Colac,Colac City Council,88cc29ba-e318-4026-8720-ff313dd2b5cb,,,normal_gst_10,,Manual,active,,
Corangamite Shire Council - Council Land Information Certificate,VICLGALANDINFOV20,VIC,LGA,true,"Order the Council Land Information Certificate from Corangamite Shire Council for a property in Corangamite Shire. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Corangamite Shire,Corangamite Shire Council,79be823e-10d4-4099-b9d8-74741dcac4bc,,,normal_gst_10,,Manual,active,,
Darebin City Council - Council Land Information Certificate,VICLGALANDINFOV21,VIC,LGA,true,"Order the Council Land Information Certificate from Darebin City Council for a property in Darebin City. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Darebin City,Darebin City Council,7ccfcefc-42d2-4af1-972d-fb64a78983b2,,,normal_gst_10,,Manual,active,,
